proxy_fusion_name.starF	type.starF	sample.starF	FusionName.starF	lex_ordered_fusion_name	est_J	est_S	proxy_fusion_name.arriba	type.arriba	sample.arriba	FusionName.arriba	sum_split_reads	discordant_mates	progs
SKBR3|TATDN1--GSDMB	shared	SKBR3	TATDN1--GSDMB	SKBR3|GSDMB--TATDN1	2783	0.75	SKBR3|TATDN1--GSDMB	shared	SKBR3	TATDN1--GSDMB	331	3	starF,arriba
RT112|FGFR3--TACC3	shared	RT112	FGFR3--TACC3	RT112|FGFR3--TACC3	1693	671	RT112|FGFR3--TACC3	shared	RT112	FGFR3--TACC3	604	300	starF,arriba
KIJK|NPM1--ALK	shared	KIJK	NPM1--ALK	KIJK|ALK--NPM1	1553.83	855.7	KIJK|NPM1--ALK	shared	KIJK	NPM1--ALK	594	297	starF,arriba
K562|BCR--ABL1	shared	K562	BCR--ABL1	K562|ABL1--BCR	254	107	K562|BCR--ABL1	shared	K562	BCR--ABL1	234	99	starF,arriba
K562|BAG6--SLC44A4	shared	K562	BAG6--SLC44A4	K562|BAG6--SLC44A4	226	134	K562|BAG6--SLC44A4	shared	K562	BAG6--SLC44A4	210	114	starF,arriba
HCC1187|CTNND1--SMTNL1	shared	HCC1187	CTNND1--SMTNL1	HCC1187|CTNND1--SMTNL1	206	91	HCC1187|CTNND1--SMTNL1	shared	HCC1187	CTNND1--SMTNL1	204	88	starF,arriba
SKBR3|CYTH1--EIF3H	shared	SKBR3	CYTH1--EIF3H	SKBR3|CYTH1--EIF3H	205	0	SKBR3|CYTH1--EIF3H	shared	SKBR3	CYTH1--EIF3H	206	0	starF,arriba
HCC1187|KMT2E--LHFPL3	shared	HCC1187	KMT2E--LHFPL3	HCC1187|KMT2E--LHFPL3	178	108	HCC1187|KMT2E--LHFPL3	shared	HCC1187	KMT2E--LHFPL3	169	99	starF,arriba
KIJK|SCMH1--NPM1	shared	KIJK	SCMH1--NPM1	KIJK|NPM1--SCMH1	169.4	0	NA	NA	NA	NA	NA	NA	starF
HCC1187|PUM1--TRERF1	shared	HCC1187	PUM1--TRERF1	HCC1187|PUM1--TRERF1	168	136	HCC1187|PUM1--TRERF1	shared	HCC1187	PUM1--TRERF1	160	123	starF,arriba
SKBR3|RARA--PKIA	shared	SKBR3	RARA--PKIA	SKBR3|PKIA--RARA	164	0	SKBR3|RARA--PKIA	shared	SKBR3	RARA--PKIA	153	0	starF,arriba
HCC1395|EIF3K--CYP39A1	shared	HCC1395	EIF3K--CYP39A1	HCC1395|CYP39A1--EIF3K	147	70.02	HCC1395|EIF3K--CYP39A1	shared	HCC1395	EIF3K--CYP39A1	141	70	starF,arriba
HCC1187|CTAGE5--GEMIN2	shared	HCC1187	CTAGE5--GEMIN2	HCC1187|CTAGE5--GEMIN2	126	56	NA	NA	NA	NA	NA	NA	starF
HCC1187|SEC22B--NOTCH2	shared	HCC1187	SEC22B--NOTCH2	HCC1187|NOTCH2--SEC22B	123	64	HCC1187|SEC22B--NOTCH2	shared	HCC1187	SEC22B--NOTCH2	114	62	starF,arriba
HCC1187|AGPAT5--MCPH1	shared	HCC1187	AGPAT5--MCPH1	HCC1187|AGPAT5--MCPH1	112	64	HCC1187|AGPAT5--MCPH1	shared	HCC1187	AGPAT5--MCPH1	106	64	starF,arriba
SKBR3|SUMF1--LRRFIP2	shared	SKBR3	SUMF1--LRRFIP2	SKBR3|LRRFIP2--SUMF1	109	45	SKBR3|SUMF1--LRRFIP2	shared	SKBR3	SUMF1--LRRFIP2	94	42	starF,arriba
K562|NUP214--XKR3	shared	K562	NUP214--XKR3	K562|NUP214--XKR3	105	68	K562|NUP214--XKR3	shared	K562	NUP214--XKR3	95	68	starF,arriba
KIJK|YTHDF2--TAF12	shared	KIJK	YTHDF2--TAF12	KIJK|TAF12--YTHDF2	99	58	KIJK|YTHDF2--TAF12	shared	KIJK	YTHDF2--TAF12	82	53	starF,arriba
HCC1395|PLA2R1--RBMS1	shared	HCC1395	PLA2R1--RBMS1	HCC1395|PLA2R1--RBMS1	91	56.75	HCC1395|PLA2R1--RBMS1	shared	HCC1395	PLA2R1--RBMS1	100	54	starF,arriba
DMS53|R3HCC1L--PGAM1	shared	DMS53	R3HCC1L--PGAM1	DMS53|PGAM1--R3HCC1L	81.73	39.18	DMS53|R3HCC1L--PGAM1	shared	DMS53	R3HCC1L--PGAM1	44	39	starF,arriba
VCAP|TMPRSS2--ERG	shared	VCAP	TMPRSS2--ERG	VCAP|ERG--TMPRSS2	81	0	VCAP|TMPRSS2--ERG	shared	VCAP	TMPRSS2--ERG	17	0	starF,arriba
VCAP|PIK3C2A--TEAD1	shared	VCAP	PIK3C2A--TEAD1	VCAP|PIK3C2A--TEAD1	79	0	VCAP|PIK3C2A--TEAD1	shared	VCAP	PIK3C2A--TEAD1	75	0	starF,arriba
HCC1395|CH507-528H12.1--PDIA5	shared	HCC1395	PDIA5--CH507-528H12.1	HCC1395|CH507-528H12.1--PDIA5	69.99	24	HCC1395|CH507-528H12.1--PDIA5	shared	HCC1395	PDIA5--CH507-528H12.1	213	106	starF,arriba
SKBR3|TAF2--COLEC10	shared	SKBR3	TAF2--COLEC10	SKBR3|COLEC10--TAF2	68	25	SKBR3|TAF2--COLEC10	shared	SKBR3	TAF2--COLEC10	61	24	starF,arriba
DMS53|GALNT8--PRMT8	shared	DMS53	GALNT8--PRMT8	DMS53|GALNT8--PRMT8	65	21	DMS53|GALNT8--PRMT8	shared	DMS53	GALNT8--PRMT8	61	19	starF,arriba
SKBR3|KLHDC2--SNTB1	shared	SKBR3	KLHDC2--SNTB1	SKBR3|KLHDC2--SNTB1	60	36	SKBR3|KLHDC2--SNTB1	shared	SKBR3	KLHDC2--SNTB1	22	31	starF,arriba
VCAP|HJURP--EIF4E2	shared	VCAP	HJURP--EIF4E2	VCAP|EIF4E2--HJURP	57	21	VCAP|HJURP--EIF4E2	shared	VCAP	HJURP--EIF4E2	54	18	starF,arriba
VCAP|EZH1--ABCC4	shared	VCAP	EZH1--ABCC4	VCAP|ABCC4--EZH1	49	0	NA	NA	NA	NA	NA	NA	starF
DMS53|TMEM131--AC009237.2	shared	DMS53	TMEM131--AC009237.2	DMS53|AC009237.2--TMEM131	46.5	13.5	NA	NA	NA	NA	NA	NA	starF
VCAP|PDE4D--C5orf47	shared	VCAP	PDE4D--C5orf47	VCAP|C5orf47--PDE4D	39	18	VCAP|PDE4D--C5orf47	shared	VCAP	PDE4D--C5orf47	32	14	starF,arriba
VCAP|VWA2--PRKCH	shared	VCAP	VWA2--PRKCH	VCAP|PRKCH--VWA2	39	3	VCAP|VWA2--PRKCH	shared	VCAP	VWA2--PRKCH	37	2	starF,arriba
DMS53|NLRP1--STAT5A	shared	DMS53	NLRP1--STAT5A	DMS53|NLRP1--STAT5A	39	0	DMS53|NLRP1--STAT5A	shared	DMS53	NLRP1--STAT5A	42	0	starF,arriba
DMS53|KRT7--OR7E47P	shared	DMS53	KRT7--OR7E47P	DMS53|KRT7--OR7E47P	36	10.11	DMS53|KRT7--OR7E47P	shared	DMS53	KRT7--OR7E47P	34	14	starF,arriba
SKBR3|ANKHD1--PCDH1	shared	SKBR3	ANKHD1--PCDH1	SKBR3|ANKHD1--PCDH1	35	11	SKBR3|ANKHD1--PCDH1	shared	SKBR3	ANKHD1--PCDH1	34	10	starF,arriba
VCAP|RC3H2--RGS3	shared	VCAP	RC3H2--RGS3	VCAP|RC3H2--RGS3	32	16	VCAP|RC3H2--RGS3	shared	VCAP	RC3H2--RGS3	32	16	starF,arriba
DMS53|AP003900.6--bP-2189O9.3	unique	DMS53	AP003900.6--bP-2189O9.3	DMS53|AP003900.6--bP-2189O9.3	32	0	NA	NA	NA	NA	NA	NA	starF
VCAP|TIA1--DIRC2	shared	VCAP	TIA1--DIRC2	VCAP|DIRC2--TIA1	30	17	NA	NA	NA	NA	NA	NA	starF
KIJK|ZFYVE27--C10orf76	shared	KIJK	ZFYVE27--C10orf76	KIJK|C10orf76--ZFYVE27	30	12.55	NA	NA	NA	NA	NA	NA	starF
SKBR3|CPNE1--PREX1	unique	SKBR3	PREX1--CPNE1	SKBR3|CPNE1--PREX1	30	0.75	SKBR3|CPNE1--PREX1	unique	SKBR3	CPNE1--PREX1	29	16	starF,arriba
VCAP|USP10--ZDHHC7	shared	VCAP	USP10--ZDHHC7	VCAP|USP10--ZDHHC7	29	0	VCAP|USP10--ZDHHC7	shared	VCAP	USP10--ZDHHC7	30	0	starF,arriba
DMS53|RP11-59N23.1--CMAS	shared	DMS53	RP11-59N23.1--CMAS	DMS53|CMAS--RP11-59N23.1	27	6.3	NA	NA	NA	NA	NA	NA	starF
VCAP|ABCB9--ZDHHC7	shared	VCAP	ZDHHC7--ABCB9	VCAP|ABCB9--ZDHHC7	25	7.14	VCAP|ABCB9--ZDHHC7	shared	VCAP	ZDHHC7--ABCB9	24	7	starF,arriba
MJ|RP11-444D3.1--SOX5	shared	MJ	RP11-444D3.1--SOX5	MJ|RP11-444D3.1--SOX5	23	15.98	NA	NA	NA	NA	NA	NA	starF
SKBR3|DHX35--ITCH	shared	SKBR3	DHX35--ITCH	SKBR3|DHX35--ITCH	23	14	SKBR3|DHX35--ITCH	shared	SKBR3	DHX35--ITCH	21	12	starF,arriba
DMS53|USP43--CNTLN	shared	DMS53	USP43--CNTLN	DMS53|CNTLN--USP43	21	11	DMS53|USP43--CNTLN	shared	DMS53	USP43--CNTLN	21	12	starF,arriba
VCAP|INPP4A--HJURP	shared	VCAP	INPP4A--HJURP	VCAP|HJURP--INPP4A	21	4	VCAP|INPP4A--HJURP	shared	VCAP	INPP4A--HJURP	18	3	starF,arriba
DMS53|ABR--CDK14	shared	DMS53	ABR--CDK14	DMS53|ABR--CDK14	21	0.72	DMS53|ABR--CDK14	shared	DMS53	ABR--CDK14	5	4	starF,arriba
SKBR3|SAMD12--MRPL13	shared	SKBR3	SAMD12--MRPL13	SKBR3|MRPL13--SAMD12	19	26.49	NA	NA	NA	NA	NA	NA	starF
VCAP|LMAN2--AP3S1	shared	VCAP	LMAN2--AP3S1	VCAP|AP3S1--LMAN2	17	5	VCAP|LMAN2--AP3S1	shared	VCAP	LMAN2--AP3S1	17	5	starF,arriba
SKBR3|NCOA2--CALB1	shared	SKBR3	NCOA2--CALB1	SKBR3|CALB1--NCOA2	17	0	NA	NA	NA	NA	NA	NA	starF
HCC1395|UNC5C--RP11-681L8.1	shared	HCC1395	UNC5C--RP11-681L8.1	HCC1395|RP11-681L8.1--UNC5C	16	3	HCC1395|UNC5C--RP11-681L8.1	shared	HCC1395	UNC5C--RP11-681L8.1	21	4	starF,arriba
HCC1187|PLXND1--TMCC1	shared	HCC1187	PLXND1--TMCC1	HCC1187|PLXND1--TMCC1	15	3.62	HCC1187|PLXND1--TMCC1	shared	HCC1187	PLXND1--TMCC1	16	9	starF,arriba
K562|C16orf87--ORC6	shared	K562	C16orf87--ORC6	K562|C16orf87--ORC6	13	12.79	K562|C16orf87--ORC6	shared	K562	C16orf87--ORC6	12	15	starF,arriba
HCC1395|RAB7A--LRCH3	shared	HCC1395	RAB7A--LRCH3	HCC1395|LRCH3--RAB7A	12	12.18	HCC1395|RAB7A--LRCH3	shared	HCC1395	RAB7A--LRCH3	3	11	starF,arriba
KIJK|RP11-262H14.12--RP11-262H14.3	shared	KIJK	RP11-262H14.12--RP11-262H14.3	KIJK|RP11-262H14.12--RP11-262H14.3	12	8	NA	NA	NA	NA	NA	NA	starF
SKBR3|TBC1D31--ZNF704	shared	SKBR3	TBC1D31--ZNF704	SKBR3|TBC1D31--ZNF704	12	6.7	SKBR3|TBC1D31--ZNF704	shared	SKBR3	TBC1D31--ZNF704	11	6	starF,arriba
K562|RP11-307P5.1--SASH1	shared	K562	RP11-307P5.1--SASH1	K562|RP11-307P5.1--SASH1	12	3	K562|RP11-307P5.1--SASH1	shared	K562	RP11-307P5.1--SASH1	12	6	starF,arriba
DMS53|RP11-59N23.3--CMAS	shared	DMS53	RP11-59N23.3--CMAS	DMS53|CMAS--RP11-59N23.3	11	17	NA	NA	NA	NA	NA	NA	starF
VCAP|CSNK1G3--CTC-338M12.6	shared	VCAP	CSNK1G3--CTC-338M12.6	VCAP|CSNK1G3--CTC-338M12.6	11	2.44	NA	NA	NA	NA	NA	NA	starF
HCC1187|ALDOA--SHISA9	shared	HCC1187	ALDOA--SHISA9	HCC1187|ALDOA--SHISA9	11	2.05	NA	NA	NA	NA	NA	NA	starF
VCAP|HSF1--RERE	shared	VCAP	HSF1--RERE	VCAP|HSF1--RERE	11	1	VCAP|HSF1--RERE	shared	VCAP	HSF1--RERE	13	1	starF,arriba
HCC1395|E2F3--PKD2	shared	HCC1395	E2F3--PKD2	HCC1395|E2F3--PKD2	11	0	NA	NA	NA	NA	NA	NA	starF
VCAP|ZNF57--LPPR2	shared	VCAP	ZNF57--LPPR2	VCAP|LPPR2--ZNF57	11	0	NA	NA	NA	NA	NA	NA	starF
HCC1395|SLMAP--AC017104.4	shared	HCC1395	SLMAP--AC017104.4	HCC1395|AC017104.4--SLMAP	10	6	NA	NA	NA	NA	NA	NA	starF
HCC1395|CALD1--AKR1B10	shared	HCC1395	CALD1--AKR1B10	HCC1395|AKR1B10--CALD1	10	5	NA	NA	NA	NA	NA	NA	starF
HCC1395|RNGTT--RPF1	shared	HCC1395	RNGTT--RPF1	HCC1395|RNGTT--RPF1	10	3	HCC1395|RNGTT--RPF1	shared	HCC1395	RNGTT--RPF1	7	3	starF,arriba
VCAP|PDE4D--FAM172A	shared	VCAP	PDE4D--FAM172A	VCAP|FAM172A--PDE4D	10	0.91	VCAP|PDE4D--FAM172A	shared	VCAP	PDE4D--FAM172A	7	1	starF,arriba
RT112|WHSC1--GRK4	shared	RT112	WHSC1--GRK4	RT112|GRK4--WHSC1	9	5.41	NA	NA	NA	NA	NA	NA	starF
HCC1187|LINC01535--EXOSC10	shared	HCC1187	LINC01535--EXOSC10	HCC1187|EXOSC10--LINC01535	9	3.54	HCC1187|LINC01535--EXOSC10	shared	HCC1187	LINC01535--EXOSC10	7	2	starF,arriba
HCC1395|PRRC2B--FUBP3	shared	HCC1395	PRRC2B--FUBP3	HCC1395|FUBP3--PRRC2B	9	0	NA	NA	NA	NA	NA	NA	starF
VCAP|RANBP17--DOCK2	shared	VCAP	RANBP17--DOCK2	VCAP|DOCK2--RANBP17	8	7	VCAP|RANBP17--DOCK2	shared	VCAP	RANBP17--DOCK2	9	5	starF,arriba
HCC1395|MFSD3--MROH1	shared	HCC1395	MFSD3--MROH1	HCC1395|MFSD3--MROH1	8	6	HCC1395|MFSD3--MROH1	shared	HCC1395	MFSD3--MROH1	8	5	starF,arriba
